Detector Type,Descriptor Type,Matching type,Sel Type,Frame_ID,Camera TTC (s),Lidar TTC(s),Difference TTC
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,3,12.06021041,16.96304201,-4.90283160
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,4,13.02490626,13.12542026,-0.10051400
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,5,11.91787639,12.59510889,-0.67723250
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,6,12.69161189,13.86901356,-1.17740167
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,7,13.41816634,15.15608686,-1.73792052
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,8,12.50000019,15.36522319,-2.86522300
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,9,12.31933830,12.24264888,0.07668943
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,10,13.47893419,13.72965491,-0.25072072
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,11,12.25869538,10.49140265,1.76729273
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,12,11.52555512,10.09999603,1.42555910
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,13,10.93354218,9.22306851,1.71047368
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,14,11.34200870,10.96776340,0.37424530
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,15,12.10479301,8.09421824,4.01057478
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,16,7.15868108,9.16582132,-2.00714024
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,17,10.49772299,9.85140428,0.64631870
SHITOMASI,SHITOMASI,SIFT,MAT_BF,SEL_NN,18,8.38689389,8.30977868,0.07711521
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,5,35.38326331,12.59510889,22.78815441
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,6,15.24826818,13.86901356,1.37925462
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,7,14.27440196,15.15608686,-0.88168490
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,8,17.62038178,15.36522319,2.25515859
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,10,-13.44052484,13.72965491,-27.17017975
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,11,11.74142988,10.49140265,1.25002723
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,12,11.69480896,10.09999603,1.59481293
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,13,13.43272518,9.22306851,4.20965668
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,14,5.66096584,10.96776340,-5.30679756
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,15,-13.62628338,8.09421824,-21.72050162
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,16,7.29174592,9.16582132,-1.87407540
HARRIS,HARRIS,BRIEF,MAT_BF,SEL_NN,17,12.58484506,9.85140428,2.73344078
